,Match_Id,cum_run_conceded,cum_ball_thrown,cum_wicket,Player_Id
3425,548349,1434,1049,42.0,81
3498,548355,1464,1074,42.0,81
3621,548365,1496,1097,42.0,81
3640,548367,1529,1122,42.0,81
3699,548372,1561,1146,42.0,81
3756,548377,1595,1172,42.0,81
3800,548381,1629,1197,42.0,81
3884,598004,1649,1223,42.0,81
3938,598009,1676,1247,42.0,81
3987,598013,1722,1278,42.0,81
4034,598017,1758,1302,42.0,81
4091,598022,1793,1327,42.0,81
4160,598028,1814,1351,42.0,81
4204,598032,1832,1375,42.0,81
4275,598038,1856,1399,43.0,81
4311,598041,1894,1423,44.0,81
4380,598047,1933,1446,45.0,81
4417,598050,1964,1470,48.0,81
4450,598053,1999,1494,48.0,81
4522,598059,2042,1518,49.0,81
4559,598062,2085,1542,50.0,81
4644,598069,2102,1562,52.0,81
4693,598073,2150,1586,53.0,81
4764,729284,2160,1592,54.0,81
4821,729294,2175,1604,54.0,81
4880,729304,2210,1628,54.0,81
4972,729320,2236,1652,56.0,81
4998,733976,2266,1676,58.0,81
5041,733984,2292,1694,58.0,81
5077,733990,2334,1718,60.0,81
5319,734032,2365,1736,60.0,81
5376,734042,2409,1760,60.0,81
5454,829710,2441,1784,61.0,81
5524,829722,2462,1805,61.0,81
5547,829726,2508,1829,61.0,81
5601,829734,2521,1847,62.0,81
5733,829756,2539,1859,62.0,81
5819,829774,2570,1883,62.0,81
5850,829780,2609,1907,63.0,81
5901,829788,2626,1925,63.0,81
5937,829794,2657,1943,63.0,81
6028,829810,2690,1961,64.0,81
6085,829820,2723,1985,65.0,81
6099,829822,2744,2003,65.0,81
6134,829828,2770,2021,67.0,81
6144,980906,2809,2045,68.0,81
6697,980998,2823,2057,68.0,81
6783,981012,2856,2081,69.0,81
8,335987,0,0,0.0,82
53,335991,25,24,3.0,82
135,335998,44,36,5.0,82
186,336002,63,54,6.0,82
223,336005,86,78,7.0,82
261,336008,132,102,8.0,82
472,336026,158,120,8.0,82
514,336030,163,126,8.0,82
541,336032,177,138,8.0,82
720,392189,207,156,8.0,82
782,392195,224,162,8.0,82
881,392204,238,168,8.0,82
934,392208,261,180,8.0,82
986,392212,273,186,9.0,82
1035,392216,302,210,10.0,82
1135,392224,326,228,11.0,82
1163,392226,345,246,11.0,82
1251,392233,390,270,12.0,82
1289,392236,431,294,12.0,82
1315,392238,476,318,12.0,82
1648,419132,491,342,14.0,82
1692,419136,523,366,16.0,82
1745,419140,549,378,16.0,82
1796,419144,580,402,17.0,82
1857,419149,615,420,17.0,82
1908,419153,651,444,18.0,82
1967,419158,680,462,18.0,82
2423,501228,694,474,18.0,82
2505,501235,741,498,20.0,82
2542,501238,775,522,21.0,82
2601,501243,798,546,23.0,82
2660,501248,816,564,23.0,82
2700,501251,845,588,25.0,82
2782,501258,876,612,25.0,82
3178,548326,925,636,26.0,82
3225,548330,966,655,26.0,82
3398,548347,992,676,26.0,82
3434,548350,1023,701,26.0,82
4125,598025,1055,726,26.0,82
4169,598029,1082,752,26.0,82
4463,598054,1118,771,26.0,82
4586,598064,1140,783,26.0,82
54,335991,0,0,0.0,83
136,335998,17,22,3.0,83
187,336002,50,40,3.0,83
342,336015,74,58,3.0,83
390,336019,98,70,3.0,83
721,392189,127,88,3.0,83
747,392191,150,112,3.0,83
882,392204,157,118,3.0,83
935,392208,183,142,3.0,83
987,392212,203,160,4.0,83
1036,392216,223,178,4.0,83
1136,392224,241,202,4.0,83
1164,392226,261,226,4.0,83
1252,392233,289,250,6.0,83
1290,392236,301,274,7.0,83
1399,419111,328,292,7.0,83
1436,419114,345,310,8.0,83
1484,419118,367,334,10.0,83
1543,419123,388,358,10.0,83
1591,419127,413,382,10.0,83
1693,419136,434,406,11.0,83
1746,419140,460,430,11.0,83
1797,419144,489,454,12.0,83
2028,419163,530,478,13.0,83
2064,419166,561,502,14.0,83
2173,501207,581,526,16.0,83
2236,501212,591,531,16.0,83
2354,501223,621,555,16.0,83
2454,501231,650,579,16.0,83
2478,501233,679,603,16.0,83
2564,501240,706,627,17.0,83
3022,548313,747,651,17.0,83
3085,548318,761,669,17.0,83
3192,548327,782,689,17.0,83
3281,548335,800,707,17.0,83
3316,548338,824,731,17.0,83
3364,548342,848,750,17.0,83
